,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
11,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],,"[{'citation': 'Oxidation Resistance Evaluation of Silicon Carbide Ceramics with Various Additives, M. Maeda, K. Nakamura, and M. Yamada, Journal of the American Ceramic Society, Vol. 72 3, pp. 512-514 (1989), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262,"[{'name': 'Sample Number', 'scalars': [{'value': 'C'}]}]",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Sintering'}],"[{'citation': 'Creep of Sintered Silicon Nitride, D. Chakraborty and A.K. Mukhopadhyay, Ceramics International, Vol. 15, pp. 237-245 (1989), published by Elsevier Applied Science.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,"[{'name': 'Aspect Ratio', 'scalars': [{'value': '1.4', 'uncertainty': '0.4'}]}, {'name': 'Sample Number', 'scalars': [{'value': 'A'}]}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Hot Pressing'}],"[{'citation': 'Fracture Mechanism Maps for Advanced Structural Ceramics Part I  Methodology and Hot-Pressed Silicon Nitride Results, G.D. Quinn, Journal of Materials Science, Vol. 25, pp. 4361-4376 (1990), published by Chapman and Hall.'}]",,,,,,,,,,,,Si-N,NC-132,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norton Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,
14,Si12-4.5xAl4.5xO1.5xN16-1.5xDyx,[{'name': 'NIST_SRD-30'}],['Sialon composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Preparation and Properties of Stable Dysprosium-Doped $\\alpha$-Sialon Ceramics, Z. Shen, T. Ekstrom, and M. Nygren, Journal of Materials Science, Vol. 32, pp. 1325-1332 (1997), published by Chapman and Hall.'}]",,,,,,,,,,,,Si-Al-O-N:Dy,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,3.30,"[{'name': 'x of Dyx', 'scalars': [{'value': '0.20'}, {'value': '0.20'}, {'value': '0.25'}, {'value': '0.35'}, {'value': '0.35'}, {'value': '0.40'}, {'value': '0.40'}, {'value': '0.60'}, {'value': '0.60'}, {'value': '0.70'}, {'value': '0.80'}, {'value': '0.80'}, {'value': '1.00'}, {'value': '1.00'}, {'value': '1.00'}], 'units': 'formula units'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Effect of Hot Isostatic Pressing on the Properties of Sintered Alpha Silicon Carbide, G.K. Watson, T.J. Moore, and M.L. Millard, American Ceramic Society Bulletin, Vol. 64 9, pp. 1253-1256 (1985), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"[{'name': 'Average Pore Size', 'scalars': [{'value': '1.9'}, {'value': '2.1'}, {'value': '1.4'}, {'value': '1.8'}, {'value': '2.0'}, {'value': '2.1'}, {'value': '1.5'}, {'value': '1.6'}], 'units': '$\\mu$m'}, {'name': 'HIPTemperature', 'scalars': [{'value': '-'}, {'value': '1950'}, {'value': '2050'}, {'value': '2200'}, {'value': '-'}, {'value': '1950'}, {'value': '2050'}, {'value': '2200'}], 'units': '$^{\\circ}$C'}, {'name': 'Lot Number', 'scalars': [{'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '2'}, {'value': '2'}, {'value': '2'}, {'value': '2'}]}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties of SiC, AlN, and their Solid Solutions and Particulate Composites, R. Ruh, A. Zangvil, and J. Barlowe, American Ceramic Society Bulletin, Vol. 64 10, pp. 1368-1373 (1985), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,405,"[{'name': 'Composition SiC/AlN', 'scalars': [{'value': '100/0'}], 'units': '% / %'}, {'name': 'Grain Size', 'scalars': [{'minimum': '20', 'maximum': '200'}, {'minimum': '2', 'maximum': '15'}, {'minimum': '2', 'maximum': '15'}, {'minimum': '20', 'maximum': '600'}, {'minimum': '2', 'maximum': '15'}, {'minimum': '20', 'maximum': '200'}, {'minimum': '2', 'maximum': '15'}, {'minimum': '5', 'maximum': '20'}, {'minimum': '5', 'maximum': '10'}, {'minimum': '5', 'maximum': '10'}, {'minimum': '1', 'maximum': '8'}, {'minimum': '2', 'maximum': '10'}, {'minimum': '1', 'maximum': '4'}, {'minimum': '2', 'maximum': '8'}, {'minimum': '1', 'maximum': '5'}], 'units': '$\\mu$m'}, {'name': 'Pore Size', 'scalars': [{'value': '5'}, {'minimum': '1', 'maximum': '4'}, {'minimum': '1', 'maximum': '4'}, {'minimum': '5', 'maximum': '10'}, {'minimum': '2', 'maximum': '5'}, {'value': '5'}, {'minimum': '2', 'maximum': '5'}, {'minimum': '1', 'maximum': '2'}, {'minimum': '1', 'maximum': '5'}, {'minimum': '1', 'maximum': '5'}, {'minimum': '1', 'maximum': '5'}, {'minimum': '1', 'maximum': '3'}, {'minimum': '1', 'maximum': '2'}, {'minimum': '1', 'maximum': '2'}, {'minimum': '1', 'maximum': '5'}], 'units': '$\\mu$m'}, {'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '0.012'}, {'value': '0.013'}, {'value': '0.018'}, {'value': '0.019'}, {'value': '0.025'}, {'value': '0.027'}, {'value': '0.028'}, {'value': '0.043'}, {'value': '0.047'}, {'value': '0.051'}, {'value': '0.067'}, {'value': '0.075'}, {'value': '0.099'}, {'value': '0.141'}, {'value': '0.201'}]}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Al4+2xSi2-2xO10-x,[{'name': 'NIST_SRD-30'}],['Mullite'],,"[{'citation': 'Structure Refinement of Mullite by the Rietveld Method and a New Method for Estimation of Chemical Composition, T. Ban and K. Okada, Journal of the American Ceramic Society, Vol. 75 1, pp. 227-230 (1992), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Atom : Coord.', 'scalars': [{'value': 'Al(1) : x'}, {'value': 'Al(1) : y'}, {'value': 'Al(1) : z'}, {'value': 'Al(T) : x'}, {'value': 'Al(T) : y'}, {'value': 'Al(T) : z'}, {'value': 'Si(T) : x'}, {'value': 'Si(T) : y'}, {'value': 'Si(T) : z'}, {'value': 'Al(2) : x'}, {'value': 'Al(2) : y'}, {'value': 'Al(2) : z'}, {'value': 'O(1) : x'}, {'value': 'O(1) : y'}, {'value': 'O(1) : z'}, {'value': 'O(2) : x'}, {'value': 'O(2) : y'}, {'value': 'O(2) : z'}, {'value': 'O(3) : x'}, {'value': 'O(3) : y'}, {'value': 'O(3) : z'}, {'value': 'O(4) : x'}, {'value': 'O(4) : y'}, {'value': 'O(4) : z'}]}, {'name': 'Occupancy', 'scalars': [{'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '0.5'}, {'value': '0.5'}, {'value': '0.5'}, {'value': '0.263'}, {'value': '0.263'}, {'value': '0.263'}, {'value': '0.237'}, {'value': '0.237'}, {'value': '0.237'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '1'}, {'value': '0.288', 'uncertainty': '0.006'}, {'value': '0.288', 'uncertainty': '0.006'}, {'value': '0.288', 'uncertainty': '0.006'}, {'value': '0.237'}, {'value': '0.237'}, {'value': '0.237'}]}, {'name': 'Specimen Number', 'scalars': [{'value': 'SP950.1'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SiC.xTiB2,[{'name': 'NIST_SRD-30'}],['Silicon carbide composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'In Situ Enhancement of Toughness of SiC-TiB2 Composites, K.S. Cho, H.J. Choi, J.G. Lee, and Y.W. Kim, Journal of Materials Science, Vol. 33, pp. 211-214 (1998), published by Chapman and Hall.'}]",,,,,,,,,,,,Si-C:TiB,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,"[{'name': 'Mass Fraction of TiB2', 'scalars': [{'value': '0'}, {'value': '30'}, {'value': '30'}, {'value': '30'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '70'}, {'value': '70'}, {'value': '70'}], 'units': '%'}, {'name': 'Relative Density', 'scalars': [{'value': '99.4'}, {'value': '97.4'}, {'value': '96.8'}, {'value': '95.5'}, {'value': '97.2'}, {'value': '97.0'}, {'value': '96.4'}, {'value': '98.3'}, {'value': '97.3'}, {'value': '97.0'}], 'units': '%'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NiO,[{'name': 'NIST_SRD-30'}],['Nickel oxide'],[{'name': 'Crystal Growth'}],"[{'citation': 'Thermal Constants for Ni, NiO, MgO, MnO and CoO at Low Temperatures, H. Watanabe, Thermochimica Acta, Vol. 218, pp. 365-372 (1993), published by Elsevier Science B.V..'}]",,,,,,,,,,,,Ni-O,,,,,,,,,,,,,,,,,,,,,,,,,Single Crystal,,,,6.80,"[{'name': 'Massof Specimen', 'scalars': [{'value': '1.5006'}], 'units': 'g'}, {'name': 'Thicknessof Specimen', 'scalars': [{'value': '2.682'}], 'units': 'mm'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth Jewelry Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Si6-xAlxOxN8-x,[{'name': 'NIST_SRD-30'}],['Sialon'],[{'name': 'Sintering'}],"[{'citation': 'Static Fatigue and Creep Resistance of a Commerical Sialon, G.D. Quinn, Journal of Materials Science, Vol. 22, pp. 374-380 (1987), published by Chapman and Hall.'}]",,,,,,,,,,,,Si-Al-O-N,Syalon 201,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas Cookson Syalon Ltd.,,,,,,,,,0.286,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Sintering'}],"[{'citation': 'Strength Distributions of SiC Ceramics After Oxidation and Oxidation Under Load, T.E. Easler, R.C. Bradt, and R.E. Tressler, Journal of the American Ceramic Society, Vol. 64 12, pp. 731-734 (1981), published by American Ceramic Society.'}]",,,,,,,,,,,,"Si-C:B,C",,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,"[{'name': 'Number of Samples', 'scalars': [{'value': '50'}, {'value': '11'}, {'value': '55'}, {'value': '10'}, {'value': '11'}, {'value': '11'}, {'value': '28'}]}, {'name': 'Oxidation Time', 'scalars': [{'value': '0'}, {'value': '0.5'}, {'value': '1'}, {'value': '12'}, {'value': '20'}, {'value': '50'}, {'value': '1'}], 'units': 'h'}, {'name': 'Static Load', 'scalars': [{'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '0'}, {'value': '160'}], 'units': 'MPa'}]",,,
22,ZrO2.xY2O3.yFe2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (cubic)'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Constants of the Iron Oxide Doped Yttria-Stabilized Zirconia, M.A. Ewaida, A.A. Higazy, B. Bridge, and M.M. Abou Sekkina, Journal of Materials Science, Vol. 24, pp. 3660-3666 (1989), published by Chapman and Hall.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,36.9,"[{'name': 'Sintering Temperature', 'scalars': [{'value': '1350'}], 'units': '$^{\\circ}$C'}, {'name': 'Sample Number', 'scalars': [{'value': 'Z-1'}]}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ZrO2,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],,"[{'citation': 'Effects of Environment on the Mechanical Behavior of High-Performance Ceramics, G.A. Graves and N.L. Hecht, Report No. UDR-TR-94-136, pp. 1-138 (1995), published by University of Dayton Research Institute.'}]",,,,,,,,,,,,Zr-O:Al,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,5.4,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ceramatec, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ZrB2,[{'name': 'NIST_SRD-30'}],['Zirconium diboride'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties of Polycrystalline TiB2, ZrB2, and HfB2 from Room Temperature to 1300 K, D.E. Wiley, W.R. Manning, and O. Hunter,Jr., Journal of the Less-Common Metals, Vol. 18, pp. 149-157 (1969), published by Elsevier Sequoia.'}]",,,,,,,,,,,,Zr-B,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,491,"[{'name': 'Temperature', 'scalars': [{'value': '25'}, {'value': '64'}, {'value': '109'}, {'value': '173'}, {'value': '211'}, {'value': '275'}, {'value': '320'}, {'value': '365'}, {'value': '410'}, {'value': '448'}, {'value': '499'}, {'value': '570'}, {'value': '647'}, {'value': '692'}, {'value': '724'}, {'value': '756'}, {'value': '800'}, {'value': '832'}, {'value': '877'}, {'value': '922'}, {'value': '999'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Al4+2xSi2-2xO10-x.yZrO2,[{'name': 'NIST_SRD-30'}],['Mullite composite'],[{'name': 'Sintering'}],"[{'citation': 'High-Temperature Characterization of Reaction-Sintered Mullite-Zirconia Composites, P. Descamps, S. Sakaguchi, M. Poorteman, and F. Cambier, Journal of the American Ceramic Society, Vol. 74 10, pp. 2476-2481 (1991), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O:ZrO,,,,,,,,,,,,,,,,,,,4,"[{'name': 'Stress Range', 'scalars': [{'minimum': '50', 'maximum': '80'}], 'units': 'MPa'}, {'name': 'Temperature', 'scalars': [{'value': '1200'}], 'units': '$^{\\circ}$C'}, {'name': 'Sample Number', 'scalars': [{'value': 'M-MZ'}]}]",,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Al2O3,[{'name': 'NIST_SRD-30'}],['Alumina'],[{'name': 'Sintering'}],"[{'citation': 'Sliding Friction of Ceramics:  Mechanical Action of the Wear Debris, J. Denape and J. Lamon, Journal of Materials Science, Vol. 25, pp. 3592-3604 (1990), published by Chapman and Hall.'}]",,,,,,,,,,,,Al-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desmarquest Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HfB2,[{'name': 'NIST_SRD-30'}],['Hafnium diboride'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties of Polycrystalline TiB2, ZrB2, and HfB2 from Room Temperature to 1300 K, D.E. Wiley, W.R. Manning, and O. Hunter,Jr., Journal of the Less-Common Metals, Vol. 18, pp. 149-157 (1969), published by Elsevier Sequoia.'}]",,,,,,,,,,,,Hf-B,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carborundum Company,,,,,,,,,0.120,"[{'name': 'Temperature', 'scalars': [{'value': '22'}, {'value': '51'}, {'value': '100'}, {'value': '163'}, {'value': '213'}, {'value': '269'}, {'value': '318'}, {'value': '361'}, {'value': '410'}, {'value': '452'}, {'value': '509'}, {'value': '579'}, {'value': '622'}, {'value': '685'}, {'value': '728'}, {'value': '756'}, {'value': '784'}, {'value': '840'}, {'value': '883'}, {'value': '939'}, {'value': '1003'}], 'units': '$^{\\circ}$C'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,B4C,[{'name': 'NIST_SRD-30'}],['Boron carbide'],[{'name': 'Sintering'}],"[{'citation': 'Electrophysical Properties of Polycrystallic Boron Carbide, P. S. Kisly, B. L. Grabchuk, and L. S. Golubyak, Electronnaya Tecknika, Ser. Materiali (Electronic Tecknic) 8, pp. 67-72 (1977).'}]",,,,,,,,,,,,B-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,1.25,"[{'name': 'Temperature', 'scalars': [{'value': '100'}, {'value': '133'}, {'value': '200'}, {'value': '400'}, {'value': '1429'}, {'value': '1667'}, {'value': '2000'}, {'value': '2222'}, {'value': '2500'}], 'units': 'K'}]",Log10{$\Omega$$\cdot$cm},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Al2O3.xZrO2,[{'name': 'NIST_SRD-30'}],['Alumina composite'],[{'name': 'Sintering'}],"[{'citation': 'Creep Behaviour of Alumina, Zirconia and Zirconia-Toughened Alumina, J. Chevalier, C. Olagnon, G. Fantozzi, and H. Gros, Journal of the European Ceramic Society, Vol. 17, pp. 859-864 (1997), published by Elsevier Science Ltd..'}]",,,,,,,,,,,,Al-O:ZrO,,,,,,,,,,,,,,,,,,,2.5,"[{'name': 'Specimen', 'scalars': [{'value': 'A1-10Z1'}]}]",,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desmarquest Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BN,[{'name': 'NIST_SRD-30'}],['Boron nitride (cubic)'],[{'name': 'Hot Pressing'}],"[{'citation': 'Synthesis of Polycrystalline Cubic BN, M. Wakatsuki, K. Ichinose, and T. Aoki, Materials Research Bulletin, Vol. 7, pp. 999-1004 (1972), published by Elsevier Science Limited.'}]",3.6155,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Axis', 'scalars': [{'value': 'a'}]}]",$\AA$,,,,,,,,,B-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SiC.xTiB2,[{'name': 'NIST_SRD-30'}],['Silicon carbide composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Elastic Properties and Microcracking Behavior of Particulate Titanium Diboride-Silicon Carbide Composites, M.J. Pan, P.A. Hoffman, D.J. Green, and J.R. Hellmann, Journal of the American Ceramic Society, Vol. 80 3, pp. 692-698 (1997), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-C:TiB,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,"[{'name': 'Volume Fraction of TiB2', 'scalars': [{'value': '0'}, {'value': '10'}, {'value': '15'}, {'value': '20'}, {'value': '30'}, {'value': '10'}, {'value': '15'}, {'value': '20'}, {'value': '30'}], 'units': '%'}, {'name': 'Component', 'scalars': [{'value': 'SiC'}, {'value': 'SiC'}, {'value': 'SiC'}, {'value': 'SiC'}, {'value': 'SiC'}, {'value': 'TiB2'}, {'value': 'TiB2'}, {'value': 'TiB2'}, {'value': 'TiB2'}]}]",,,$\mu$m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
